year,month,day,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,DATE
2010,1,1,6.3559,8.3923,4.6774,2010-01-01
2010,1,2,6.1922,8.2337,2.3458,2010-01-02
2010,1,3,5.3198,8.1209,2.6618,2010-01-03
2010,1,4,7.1947,8.0268,5.473,2010-01-04
2010,1,5,7.891,8.1706,7.7059,2010-01-05
2010,1,6,6.5374,8.1569,3.959,2010-01-06
2010,1,7,6.8851,8.1192,4.6481,2010-01-07
2010,1,8,6.7834,8.1912,3.5434,2010-01-08
2010,1,9,7.2497,8.2224,5.8874,2010-01-09
2010,1,10,4.5576,8.1022,0.3221,2010-01-10
2010,1,11,5.8994,8.0114,2.659,2010-01-11
2010,1,12,5.2224,8.0436,2.0472,2010-01-12
2010,1,13,5.0664,8.1526,1.5674,2010-01-13
2010,1,14,7.5062,8.4984,6.2011,2010-01-14
2010,1,15,8.1521,8.6162,8.5087,2010-01-15
2010,1,16,6.6442,8.1773,5.3518,2010-01-16
2010,1,17,7.529,8.2373,6.9938,2010-01-17
2010,1,18,5.4974,8.027,3.7373,2010-01-18
2010,1,19,4.849,7.962,1.6831,2010-01-19
2010,1,20,7.0826,8.5274,5.3868,2010-01-20
2010,1,21,8.8807,8.8865,11.2286,2010-01-21
2010,1,22,8.4713,8.7581,9.7958,2010-01-22
2010,1,23,7.7942,8.477,8.2548,2010-01-23
2010,1,24,7.9992,8.4998,8.6453,2010-01-24
2010,1,25,7.7806,8.3993,7.5955,2010-01-25
2010,1,26,7.8341,8.3707,7.7278,2010-01-26
2010,1,27,6.4956,8.2898,5.5378,2010-01-27
2010,1,28,8.1014,8.364,8.9921,2010-01-28
2010,1,29,7.9726,8.3717,8.7662,2010-01-29
2010,1,30,7.9231,8.1977,8.3304,2010-01-30
2010,1,31,6.9151,8.1154,3.8225,2010-01-31
2010,2,1,6.8146,7.7832,4.2377,2010-02-01
2010,2,2,7.2958,8.0064,5.6664,2010-02-02
2010,2,3,7.9286,8.0158,8.8042,2010-02-03
2010,2,4,7.1422,7.9543,6.5995,2010-02-04
2010,2,5,7.3402,7.8386,6.3869,2010-02-05
2010,2,6,7.8226,7.9226,8.4338,2010-02-06
2010,2,7,7.805,7.9452,8.2207,2010-02-07
2010,2,8,5.3549,7.6963,3.8062,2010-02-08
2010,2,9,8.0503,8.1674,9.1502,2010-02-09
2010,2,10,7.5768,8.2214,8.1578,2010-02-10
2010,2,11,7.1102,7.8703,6.3586,2010-02-11
2010,2,12,7.0738,7.7237,6.2856,2010-02-12
2010,2,13,5.9784,7.6056,4.6066,2010-02-13
2010,2,14,4.6183,7.4945,3.1546,2010-02-14
2010,2,15,5.2361,7.4059,2.4814,2010-02-15
2010,2,16,4.0418,7.4966,0.7044,2010-02-16
2010,2,17,6.5398,7.7729,5.6861,2010-02-17
2010,2,18,7.2228,7.6858,7.4866,2010-02-18
2010,2,19,7.1527,7.5576,7.5984,2010-02-19
2010,2,20,6.431,7.5209,5.5493,2010-02-20
2010,2,21,3.9346,7.3325,0.655,2010-02-21
2010,2,22,4.9601,7.159,0.8479,2010-02-22
2010,2,23,6.1361,7.3272,4.8257,2010-02-23
2010,2,24,2.1098,7.0838,0.1884,2010-02-24
2010,2,25,7.4297,7.6277,8.1852,2010-02-25
2010,2,26,3.3271,7.3582,0.4286,2010-02-26
